word,count
fox,4120
was,584
had,392
foxes,387
is,297
not,118
has,99
are,91
did,82
were,80
said,74
came,70
would,63
could,60
knew,59
will,57
went,57
so,53
felt,47
very,43
saw,42
never,40
looked,40
got,36
took,35
can,33
have,33
told,32
ran,32
away,31
made,29
there,28
began,25
lay,25
just,24
turned,24
jencken,23
may,22
found,22
might,22
go,22
as,22
back,21
should,21
started,20
sprang,20
thought,19
heard,18
didn't,18
crept,17
goes,17
asked,16
then,15
well,15
led,15
stood,15
always,14
only,14
now,14
reached,14
replied,13
rose,13
became,13
left,13
comes,13
does,13
continued,13
suddenly,13
must,13
stopped,13
answered,13
being,12
killed,12
showed,12
gave,12
also,12
slipped,12
still,12
kept,12
do,12
grew,11
moved,11
believed,10
met,10
waited,10
coming,10
jumped,10
too,10
lie,10
jumps,10
by,10
already,10
really,9
decided,9
laughed,9
here,9
much,9
cried,9
slept,9
caught,9
lying,9
sat,9
makes,9
often,9
called,9
more,9
followed,9
drew,9
finally,9
appeared,9
say,9
long,8
down,8
greatly,8
almost,8
sitting,8
passed,8
put,8
right,8
leaped,8
tells,8
straight,8
seemed,8
come,8
lost,8
declared,8
softly,8
warned,8
spoke,8
crawled,8
stayed,7
skins,7
be,7
home,7
watched,7
lives,7
dropped,7
broke,7
drove,7
fell,7
held,7
once,7
hardly,7
wanted,7
realized,6
isn't,6
get,6
walked,6
again,6
ever,6
shall,6
assured,6
sent,6
soon,6
most,6
seized,6
swerved,6
raced,6
far,6
relies,6
hunting,6
sometimes,6
climbed,6
finds,6
hurried,6
returned,6
tried,6
discovered,6
curled,6
knows,6
quite,6
bred,5
stepped,5
first,5
usually,5
on,5
remained,5
takes,5
take,5
ate,5
uses,5
wasn't,5
backed,5
brought,5
wrote,5
moving,5
along,5
stole,5
carried,5
when,5
going,5
having,5
shook,5
hung,5
all,4
slunk,4
certainly,4
travel,4
carefully,4
struck,4
easily,4
glared,4
awakened,4
spent,4
wondered,4
whispered,4
paid,4
wished,4
quickly,4
limped,4
trotted,4
proposed,4
immediately,4
know,4
arrived,4
struggling,4
listened,4
making,4
wears,4
nearly,4
barks,4
set,4
looking,4
noticed,4
scampered,4
tell,4
used,4
threw,4
says,4
lightly,4
live,4
trapping,4
fall,4
displayed,3
joined,3
picked,3
barking,3
played,3
up,3
truly,3
wept,3
received,3
am,3
likely,3
advanced,3
generally,3
identified,3
yielded,3
shivered,3
sped,3
smiled,3
around,3
forth,3
removed,3
anxiously,3
read,3
peered,3
where,3
thus,3
in,3
fast,3
slouched,3
running,3
die,3
weighed,3
inside,3
lived,3
let,3
feel,3
shut,3
crossed,3
loved,3
